"x","y","status","PA1","PA2","PA3","PA4"
-6346444.0766997,-426694.867198199,NA,FALSE,TRUE,FALSE,FALSE
-5801944.0766997,-426694.867198199,NA,FALSE,TRUE,FALSE,FALSE
-4333444.0766997,-426694.867198199,NA,FALSE,FALSE,TRUE,FALSE
3372055.9233003,-476194.867198199,NA,TRUE,FALSE,FALSE,FALSE
-6659944.0766997,-641194.867198199,NA,TRUE,FALSE,FALSE,FALSE
-5306944.0766997,-707194.867198199,NA,TRUE,FALSE,FALSE,FALSE
3718555.9233003,-740194.867198199,NA,FALSE,TRUE,FALSE,FALSE
-5141944.0766997,-789694.867198199,NA,FALSE,FALSE,FALSE,TRUE
-7831444.0766997,-806194.867198199,NA,FALSE,FALSE,TRUE,FALSE
-3920944.0766997,-872194.867198199,NA,FALSE,FALSE,TRUE,FALSE
3388555.9233003,-905194.867198199,NA,FALSE,FALSE,FALSE,TRUE
3438055.9233003,-921694.867198199,NA,FALSE,TRUE,FALSE,FALSE
-6461944.0766997,-987694.867198199,NA,FALSE,FALSE,TRUE,FALSE
-6461944.0766997,-1053694.8671982,NA,TRUE,FALSE,FALSE,FALSE
